segment,start(s),end(s),bitrate(bps),bitrate(kbps),bitrate_norm
516,5.15,5.16,1045659,1045.659,0.484
517,5.16,5.17,1370760,1370.760,0.635
518,5.17,5.18,2021060,2021.060,0.936
519,5.18,5.19,2021060,2021.060,0.936
520,5.19,5.2,2021060,2021.060,0.936
521,5.2,5.21,621366,621.366,0.288
522,5.21,5.22,621366,621.366,0.288
523,5.22,5.23,621366,621.366,0.288
524,5.23,5.24,1598183,1598.183,0.74
525,5.24,5.25,2086518,2086.518,0.966
526,5.25,5.26,2086518,2086.518,0.966
527,5.26,5.27,1848641,1848.641,0.856
528,5.27,5.28,1372814,1372.814,0.636
529,5.28,5.29,1372814,1372.814,0.636
530,5.29,5.3,1372814,1372.814,0.636
531,5.3,5.31,2221702,2221.702,1.029
532,5.31,5.32,2221702,2221.702,1.029
533,5.32,5.33,2221702,2221.702,1.029
534,5.33,5.34,1173946,1173.946,0.544
535,5.34,5.35,650147,650.147,0.301
536,5.35,5.36,650147,650.147,0.301
537,5.36,5.37,1205544,1205.544,0.558
538,5.37,5.38,2316503,2316.503,1.073
539,5.38,5.39,2316503,2316.503,1.073
540,5.39,5.4,2316503,2316.503,1.073
541,5.4,5.41,768248,768.248,0.356
542,5.41,5.42,768248,768.248,0.356
543,5.42,5.43,768248,768.248,0.356
544,5.43,5.44,1800103,1800.103,0.834
545,5.44,5.45,2315954,2315.954,1.072
546,5.45,5.46,2315954,2315.954,1.072
547,5.46,5.47,1799863,1799.863,0.833
548,5.47,5.48,767528,767.528,0.355
549,5.48,5.49,767528,767.528,0.355
550,5.49,5.5,767528,767.528,0.355
551,5.5,5.51,2154742,2154.742,0.998
552,5.51,5.52,2154742,2154.742,0.998
553,5.52,5.53,2154742,2154.742,0.998
554,5.53,5.54,1374995,1374.995,0.637
555,5.54,5.55,985180,985.180,0.456
556,5.55,5.56,985180,985.180,0.456
557,5.56,5.57,1590256,1590.256,0.736
558,5.57,5.58,2800588,2800.588,1.297
559,5.58,5.59,2800588,2800.588,1.297
560,5.59,5.6,2800588,2800.588,1.297
561,5.6,5.61,860889,860.889,0.399
562,5.61,5.62,860889,860.889,0.399
563,5.62,5.63,860889,860.889,0.399
564,5.63,5.64,2486520,2486.520,1.151
565,5.64,5.65,3299214,3299.214,1.528
566,5.65,5.66,3299214,3299.214,1.528
567,5.66,5.67,2618428,2618.428,1.213
568,5.67,5.68,1256653,1256.653,0.582
569,5.68,5.69,1256653,1256.653,0.582
570,5.69,5.7,1256653,1256.653,0.582
571,5.7,5.71,3092191,3092.191,1.432
572,5.71,5.72,3092191,3092.191,1.432
573,5.72,5.73,3092191,3092.191,1.432
574,5.73,5.74,1578484,1578.484,0.731
575,5.74,5.75,821744,821.744,0.381
576,5.75,5.76,821744,821.744,0.381
577,5.76,5.77,1553126,1553.126,0.719
578,5.77,5.78,3016110,3016.110,1.397
579,5.78,5.79,3016110,3016.110,1.397
580,5.79,5.8,3016110,3016.110,1.397
581,5.8,5.81,1010890,1010.890,0.468
582,5.81,5.82,1010890,1010.890,0.468
583,5.82,5.83,1010890,1010.890,0.468
584,5.83,5.84,2192345,2192.345,1.015
585,5.84,5.85,2782984,2782.984,1.289
586,5.85,5.86,2782984,2782.984,1.289
587,5.86,5.87,2269298,2269.298,1.051
588,5.87,5.88,1241772,1241.772,0.575
589,5.88,5.89,1241772,1241.772,0.575
590,5.89,5.9,1241772,1241.772,0.575
591,5.9,5.91,2809228,2809.228,1.301
592,5.91,5.92,2809228,2809.228,1.301
593,5.92,5.93,2809228,2809.228,1.301
594,5.93,5.94,1579535,1579.535,0.731
595,5.94,5.95,964781,964.781,0.447
596,5.95,5.96,964781,964.781,0.447
597,5.96,5.97,1469705,1469.705,0.681
598,5.97,5.98,2479705,2479.705,1.148
599,5.98,5.99,2479705,2479.705,1.148
600,5.99,6.0,2479705,2479.705,1.148
601,6.0,6.01,729607,729.607,0.338
602,6.01,6.02,729607,729.607,0.338
603,6.02,6.03,729607,729.607,0.338
604,6.03,6.04,1724823,1724.823,0.799
605,6.04,6.05,2222356,2222.356,1.029
606,6.05,6.06,2222356,2222.356,1.029
607,6.06,6.07,1798736,1798.736,0.833
608,6.07,6.08,951370,951.370,0.441
609,6.08,6.09,951370,951.370,0.441
610,6.09,6.1,951370,951.370,0.441
611,6.1,6.11,2772028,2772.028,1.284
612,6.11,6.12,2772028,2772.028,1.284
613,6.12,6.13,2772028,2772.028,1.284
614,6.13,6.14,1661859,1661.859,0.77
615,6.14,6.15,1106858,1106.858,0.513
616,6.15,6.16,1106858,1106.858,0.513
617,6.16,6.17,1827204,1827.204,0.846
618,6.17,6.18,3268113,3268.113,1.513
619,6.18,6.19,3268113,3268.113,1.513
620,6.19,6.2,3268113,3268.113,1.513
621,6.2,6.21,1278973,1278.973,0.592
622,6.21,6.22,1278973,1278.973,0.592
623,6.22,6.23,1278973,1278.973,0.592
624,6.23,6.24,2818033,2818.033,1.305
625,6.24,6.25,3587448,3587.448,1.661
626,6.25,6.26,3587448,3587.448,1.661
627,6.26,6.27,2674046,2674.046,1.238
628,6.27,6.28,846968,846.968,0.392
629,6.28,6.29,846968,846.968,0.392
630,6.29,6.3,846968,846.968,0.392
631,6.3,6.31,3715237,3715.237,1.72
632,6.31,6.32,3715237,3715.237,1.72
633,6.32,6.33,3715237,3715.237,1.72
634,6.33,6.34,2010152,2010.152,0.931
635,6.34,6.35,1157737,1157.737,0.536
636,6.35,6.36,1157737,1157.737,0.536
637,6.36,6.37,1682021,1682.021,0.779
638,6.37,6.38,2730747,2730.747,1.265
639,6.38,6.39,2730747,2730.747,1.265
640,6.39,6.4,2730747,2730.747,1.265
641,6.4,6.41,688087,688.087,0.319
642,6.41,6.42,688087,688.087,0.319
643,6.42,6.43,688087,688.087,0.319
644,6.43,6.44,1854668,1854.668,0.859
645,6.44,6.45,2437871,2437.871,1.129
646,6.45,6.46,2437871,2437.871,1.129
647,6.46,6.47,1912663,1912.663,0.886
648,6.47,6.48,862089,862.089,0.399
649,6.48,6.49,862089,862.089,0.399
650,6.49,6.5,862089,862.089,0.399
651,6.5,6.51,2968110,2968.110,1.374
652,6.51,6.52,2968110,2968.110,1.374
653,6.52,6.53,2968110,2968.110,1.374
654,6.53,6.54,1606729,1606.729,0.744
655,6.54,6.55,926141,926.141,0.429
656,6.55,6.56,926141,926.141,0.429
657,6.56,6.57,1647046,1647.046,0.763
658,6.57,6.58,3089071,3089.071,1.43
659,6.58,6.59,3089071,3089.071,1.43
660,6.59,6.6,3089071,3089.071,1.43
661,6.6,6.61,1153212,1153.212,0.534
662,6.61,6.62,1153212,1153.212,0.534
663,6.62,6.63,1153212,1153.212,0.534
664,6.63,6.64,2883800,2883.800,1.335
665,6.64,6.65,3748965,3748.965,1.736
666,6.65,6.66,3748965,3748.965,1.736
667,6.66,6.67,2816366,2816.366,1.304
668,6.67,6.68,950890,950.890,0.44
669,6.68,6.69,950890,950.890,0.44
670,6.69,6.7,950890,950.890,0.44
